"Type Etablissement","AA","AB","AC","AD","AE","AF","AG","AH","AI","AJ","AK","AL","AM","AN","AO","AP","AQ","AR","AS","AU","AV","AX","AZ"
"CH1",666,540,155,411,461,31,301,186,5,72,527,311,68,29,64,110,1,27,0,6,82,471,6
"CH1",108,63,43,155,393,15,218,17,199,6,0,0,75,0,42,53,3,9,0,0,77,486,0
"CH1",950,288,112,215,740,74,295,37,26,66,64,0,94,1,143,170,1,31,0,0,153,493,0
"CH1",116,71,41,77,113,7,123,12,3,2,0,0,22,0,40,23,0,9,0,0,52,131,0
"CH1",103,75,42,152,279,11,147,27,1,4,0,0,42,0,26,35,0,16,0,0,198,154,0
"CH1",272,91,80,348,393,27,327,34,2,2,1,0,61,9,66,101,3,48,0,0,254,483,0
"CH1",3,1,1,5,2,0,6,0,0,0,0,0,1,0,0,2,0,1,0,0,13,55,0
"CH1",515,588,167,333,1056,57,482,139,13,25,2,0,57,0,53,207,4,46,0,0,310,786,11
"CH1",11,30,6,108,17,9,26,0,0,3,1,0,23,0,33,25,1,6,0,1,59,82,0
"CH1",54,30,16,67,58,6,47,8,0,1,0,0,15,0,16,21,0,4,0,0,50,85,0
"CH1",436,111,106,461,645,37,470,85,8,46,696,411,111,542,87,66,3,73,1,0,198,705,12
"CH1",486,745,188,295,313,44,274,72,4,19,51,0,43,0,68,449,6,14,0,1,109,493,0
"CH1",13,85,13,245,18,2,21,1,1,3,0,0,26,0,63,5,0,3,0,0,1637,15,0
"CH1",13,17,6,125,36,4,41,6,2,2,0,0,19,0,23,8,0,4,0,0,230,703,0
"CH1",3,4,7,17,4,4,15,1,1,0,0,0,1,0,12,6,0,0,0,0,7,57,0
"CH1",112,109,80,142,184,21,151,35,2,5,0,0,20,1,28,89,1,17,0,0,130,200,0
"CH1",24,26,5,28,20,4,45,1,0,0,0,0,1,1,10,12,1,4,0,0,24,62,0
"CH1",83,33,44,77,186,11,89,11,3,3,0,0,15,0,45,24,0,16,0,0,46,184,0
"CH1",270,32,28,190,483,32,438,14,2,1,0,0,95,1,75,16,0,21,0,0,283,647,6
"CH1",75,46,27,318,49,6,332,13,4,2,0,0,23,1,12,7,0,14,0,0,255,247,0
"CH1",43,18,11,137,43,3,52,5,3,2,0,0,27,0,19,22,0,3,0,0,96,98,0
"CH1",29,29,20,43,27,10,50,5,2,4,0,0,4,0,15,9,1,0,0,0,36,89,0
"CH1",58,70,35,188,106,19,132,6,3,0,0,0,29,0,45,7,0,13,0,0,81,70,0
"CH1",4,1,2,0,7,0,2,0,0,0,0,553,0,0,0,0,0,0,0,0,0,16,0
"CH1",26,37,6,44,21,2,24,4,1,0,0,0,16,2,24,18,0,4,0,0,39,132,0
"CH1",486,316,84,171,273,20,172,46,0,53,261,177,54,0,37,116,2,18,0,1,44,714,1
"CH1",143,67,49,219,485,13,238,19,5,1,0,0,49,827,64,36,4,32,0,0,76,483,12
"CH1",94,38,24,215,68,15,34,1,3,3,0,0,18,21,75,8,2,6,0,0,123,51,0
"CH1",160,38,33,83,102,19,161,9,1,3,0,0,12,0,105,15,0,31,0,0,293,158,1
"CH1",36,11,11,62,124,7,431,5,0,1,0,0,21,143,14,11,0,8,0,0,295,569,0
"CH1",130,33,50,235,133,20,144,19,4,21,853,411,23,0,40,48,0,8,0,0,171,315,0
"CH1",51,44,28,262,174,11,115,2,1,7,0,0,36,5,28,27,0,15,0,0,171,136,1
"CH1",64,54,77,288,223,12,171,9,1,3,0,0,32,1,63,42,0,14,0,0,136,209,0
"CH1",96,54,48,219,449,24,204,15,3,2,0,0,39,1,56,32,0,12,0,0,89,358,0
"CH1",71,23,20,95,104,10,88,3,0,0,0,0,21,9,18,14,0,12,0,0,18,162,0
"CH1",15,19,8,79,37,9,23,1,0,1,0,0,8,0,6,3,0,2,0,0,15,18,0
"CH1",38,31,25,165,85,11,63,0,1,3,0,0,2,1,31,13,0,6,0,0,57,50,0
"CH1",503,463,227,161,158,23,200,86,25,103,792,464,46,60,87,120,1,13,26,0,259,386,0
"CH1",144,79,78,239,283,31,191,25,4,3,0,0,19,3,64,39,4,24,0,0,362,445,3
"CH1",524,263,112,377,487,53,270,91,8,25,3,0,98,5,101,124,1,35,0,1,502,965,0
"CH1",25,12,30,126,26,22,81,4,1,0,0,0,20,0,20,26,1,5,0,0,131,76,1
"CH1",18,11,8,151,14,11,16,0,7,3,2,0,7,0,577,20,0,3,0,0,492,81,0
"CH1",651,314,122,170,158,70,164,21,1,56,169,102,47,145,55,90,1,23,0,1,133,188,0
"CH1",505,279,219,158,298,70,275,16,4,371,1197,781,112,0,74,120,2,14,0,0,89,252,3
"CH1",483,160,122,575,473,24,345,62,11,96,622,392,84,218,79,94,3,41,11,0,110,655,88
"CH1",1007,683,99,529,469,90,416,357,4,31,2,0,176,385,234,185,6,81,0,5,70,436,53
"CH1",65,97,30,157,85,13,143,10,0,0,0,0,13,0,45,29,1,26,0,0,137,577,0
"CH1",543,447,148,210,194,15,207,29,1,36,423,239,60,105,91,217,5,33,0,2,241,814,0
"CH1",174,80,154,79,119,48,76,698,8,175,783,517,31,0,28,183,0,15,0,0,21,160,0
"CH1",72,44,23,89,118,16,69,24,1,9,0,0,39,0,59,18,0,10,0,0,28,106,0
"CH1",17,179,30,1594,46,8,40,3,9,2,0,0,30,0,151,50,0,11,0,0,708,500,0
"CH1",22,519,3,990,154,6,53,0,0,2,0,0,2,0,44,4,0,5,0,0,1833,237,0
"CH1",845,988,180,184,190,92,201,65,5,267,682,499,55,1,107,411,1,37,0,0,102,372,0
"CH1",76,88,16,247,60,5,80,8,2,1,0,0,34,0,72,19,1,8,0,0,543,3724,0
"CH1",329,403,322,191,192,21,107,183,2,4,29,0,35,0,64,53,2,19,0,0,169,3252,0
"CH1",678,485,182,184,356,60,272,178,31,91,1017,566,80,54,72,142,0,12,0,0,229,495,2
"CH1",37,40,89,57,58,19,90,1,1,286,1922,1376,24,0,17,19,0,13,0,0,11,62,0
"CH1",64,36,21,60,16,3,67,5,4,3,1,0,34,4,54,13,0,14,1,0,97,76,0
