"Type Etablissement","AA","AB","AC","AD","AE","AF","AG","AH","AI","AJ","AK","AL","AM","AN","AO","AP","AQ","AR","AS","AU","AV","AX","AZ"
"CH3",1223,707,399,972,1485,63,1106,171,23,310,1553,1045,213,566,231,244,7,137,0,5,492,1681,26
"CH3",1944,1538,478,971,1469,150,617,383,173,263,1193,666,316,858,389,408,11,192,49,2,535,1801,46
"CH3",1831,1699,397,710,861,79,713,206,10,225,1610,1060,269,544,170,355,4,145,23,3,99,1094,9
"CH3",1981,2028,818,509,660,246,575,774,103,266,1432,1045,114,833,522,446,6,102,0,0,260,1053,9
"CH3",8,1,1,3,72,1,3,2,0,1,0,0,309,12541,2,2,0,4,0,0,0,668,0
"CH3",1961,1535,679,1133,1079,129,1155,392,28,239,1443,868,273,445,839,369,21,179,19,13,399,1684,1
"CH3",1837,1666,721,866,1160,117,789,282,14,317,1695,927,185,653,420,429,28,139,2,5,537,1063,6
"CH3",3080,1748,692,977,1034,105,773,526,213,132,954,476,288,764,161,556,10,91,2,3,337,1741,2
"CH3",2524,1534,419,773,855,109,800,1015,401,257,1541,1179,150,55,100,763,8,84,1,4,374,1040,0
"CH3",1969,1616,382,592,1004,270,712,71,36,239,1802,970,233,1004,164,272,3,117,2,3,273,1714,24
"CH3",1941,1303,369,561,913,62,601,346,7,530,2404,1779,182,38,168,368,3,97,0,6,283,796,1
"CH3",2777,1700,634,632,1027,133,643,112,27,393,1578,997,210,280,213,334,3,77,1,4,344,1101,2
"CH3",1743,1628,315,746,620,146,720,153,22,280,1175,730,169,567,325,423,5,170,1,15,390,1001,1
"CH3",1264,1389,553,921,942,51,705,155,16,335,1261,929,298,178,234,295,13,151,3,4,357,1874,0
"CH3",1333,283,343,1005,1796,90,816,450,42,629,2309,1535,447,803,292,450,8,139,4,0,576,1325,0
"CH3",1704,1152,552,743,843,84,732,315,111,190,768,452,252,690,350,397,11,153,1,9,719,1611,1
"CH3",1624,1351,274,788,820,60,886,269,14,285,1087,610,276,590,711,251,7,120,2,4,479,1295,6
"CH3",1457,1422,824,711,1020,120,1068,192,10,473,1662,1099,269,827,260,297,23,255,77,6,562,2883,11
"CH3",2199,1058,177,376,741,95,387,511,574,80,1195,853,92,137,161,354,5,43,0,1,332,839,0
"CH3",2381,1617,193,499,851,138,651,643,219,110,1412,918,218,37,216,576,1,55,0,4,229,636,14
"CH3",11,40,255,58,14,1,8,24,2,2021,6872,3679,10,0,6,20,0,10,0,0,20,552,0
"CH3",1056,827,355,696,1087,193,824,202,42,59,1165,870,260,897,1909,318,6,134,5,3,304,1656,1
"CH3",1877,1668,645,571,959,90,673,466,401,184,1131,827,133,1,103,221,8,77,0,5,259,892,0
"CH3",2087,1176,493,430,1211,74,532,987,24,375,1666,1112,119,35,295,521,4,144,1,2,240,1434,1
"CH3",2553,944,1106,653,1063,187,926,458,390,561,1434,894,231,618,188,320,9,160,1,11,250,1637,0
"CH3",226,202,153,205,916,1789,214,1548,996,9,28,0,717,767,2056,122,0,38,1,0,20,2641,419
"CH3",1929,1433,639,604,854,116,1064,396,9,235,855,564,263,459,222,537,3,147,0,1,277,1299,0
"CH3",999,283,3827,344,620,41,355,190,19,252,1458,1113,91,150,175,119,6,40,3,1,92,744,18
"CH3",1465,1184,446,417,658,83,1018,146,43,302,1903,1146,235,334,116,809,4,72,0,1,333,1906,4
"CH3",2049,1022,271,438,874,117,672,584,713,322,1201,680,125,311,125,984,6,93,1,0,437,1609,7
"CH3",31,10,227,24,1248,36,94,2,0,1842,3174,1855,33,0,8,23,0,18,0,0,9,560,905
"CH3",2557,1940,533,852,735,91,740,240,14,270,1450,966,188,849,183,272,3,97,0,2,226,1126,0
"CH3",2052,895,360,719,942,242,994,290,25,255,859,476,155,973,168,313,5,127,0,10,434,1502,15
"CH3",2576,1840,841,739,1123,160,659,245,180,308,972,678,215,543,315,395,6,113,0,1,612,2108,2
"CH3",2458,1195,355,662,1133,266,790,288,166,132,1139,836,147,465,274,388,4,137,1,1,618,930,1
"CH3",1664,2927,525,780,744,99,734,793,63,246,1853,1174,165,470,126,646,7,120,1,10,456,1350,0
"CH3",1528,2018,1026,991,864,121,921,479,233,554,1726,1233,164,86,234,384,13,212,6,12,487,1442,11
"CH3",1302,1243,873,632,777,135,768,814,21,215,1129,900,491,576,329,433,3,141,1,3,428,873,3
"CH3",0,5,0,44,1,0,0,0,13060,0,0,0,10,0,0,6,0,0,0,0,1,27,0
"CH3",23,1,52,3,1,0,1,1,0,208,6421,3300,2,0,0,4,0,12,0,0,1,115,0
"CH3",2054,1380,451,806,761,67,887,526,653,249,1403,807,554,599,301,500,4,169,134,7,404,1562,12
"CH3",1967,773,661,563,893,159,766,627,20,212,1234,757,199,736,220,595,3,186,6,0,265,1160,3
"CH3",2090,1441,535,525,812,93,659,200,19,321,1289,881,226,610,195,422,16,100,0,4,214,1060,2
"CH3",1713,1297,642,399,275,106,538,432,11,330,2029,1208,515,1296,295,550,4,49,11,0,192,386,2
"CH3",1528,1103,455,553,642,58,631,142,7,280,1790,1074,166,568,119,243,4,66,4,5,355,1576,14
"CH3",1120,1321,661,748,1085,86,1208,144,124,247,1116,691,278,306,261,173,3,132,0,3,489,1580,2
"CH3",2753,1715,349,857,1051,82,633,498,12,189,1279,981,236,4,139,401,4,103,0,7,588,882,0
"CH3",1403,1127,332,563,820,154,779,270,424,241,996,586,201,702,292,283,9,106,0,1,408,1331,7
"CH3",1801,1878,745,785,1031,172,1141,1000,45,449,1735,940,241,999,500,486,15,112,0,4,453,1287,3
"CH3",1219,1033,654,654,558,74,658,418,6,348,2082,1426,142,185,250,323,8,173,48,3,331,1231,0
"CH3",1415,1188,553,1013,487,47,526,341,17,223,1351,1095,172,191,115,514,3,141,2,1,326,1410,0
"CH3",1315,1214,857,474,368,199,459,223,12,433,1581,1017,111,207,293,391,5,73,7,4,267,831,1
"CH3",976,1230,732,428,638,177,1127,869,468,178,2179,1280,168,315,1094,299,1,106,44,1,190,745,93
"CH3",1538,914,401,615,527,52,736,451,22,157,1574,1062,149,281,308,459,22,158,5,0,439,1068,0
"CH3",1246,1016,245,760,713,128,650,192,224,491,2026,1122,378,407,897,492,10,297,96,6,297,950,2
"CH4",3607,2970,6404,2025,1767,577,1356,594,86,832,2958,2127,1123,17814,541,903,11,437,65,16,711,3232,34
"CH4",4518,4888,4006,1991,1547,929,1968,1851,497,538,2378,1622,962,22246,782,1030,39,510,4,9,632,4615,701
"CH4",2310,1438,1426,765,1204,96,898,729,492,263,1505,1061,213,730,470,503,29,146,9,7,302,2241,70
"CH4",2531,2062,10317,1041,1390,226,1174,505,34,576,2191,1379,311,2180,593,494,14,244,9,12,594,2256,1
"CH4",2261,2058,6126,1479,1564,402,1416,488,56,495,1726,1265,524,7325,545,487,20,487,30,8,462,3260,63
"CH4",2453,2610,977,1737,1394,191,974,665,205,682,1406,964,537,996,670,1044,25,334,31,7,425,3250,4
"CH4",3446,1689,1922,1359,1739,275,1131,741,203,413,1701,1203,539,2119,1021,410,25,284,13,10,856,2463,519
"CH4",2910,3795,7236,1189,1589,245,1193,1106,667,716,1877,1130,548,12147,469,988,16,218,169,24,585,3381,5
"CH4",2388,1409,723,1096,1377,285,1794,643,117,926,3343,2091,441,1740,392,385,14,155,18,5,457,1628,2
"CH4",3275,1829,739,1825,1691,219,2170,697,325,385,1822,1008,811,1457,901,663,24,276,62,14,863,2982,536
"CH4",2714,2292,1703,1435,1506,340,1590,1507,772,252,1512,733,953,1015,499,552,10,269,367,10,501,4143,372
"CH4",2371,1174,1007,700,1296,166,1000,1142,25,169,1410,866,241,1124,324,544,15,202,7,6,507,2029,49
"CH4",4381,2993,15984,1820,2355,666,2302,967,105,1066,3038,2086,778,2012,1646,1219,47,482,6,11,1464,5904,113
"CH4",3491,2241,8480,1120,1100,164,1582,638,329,355,1996,1183,525,1795,392,357,12,230,35,13,711,2443,3
"CH4",3777,2980,10141,2096,2017,984,2179,1285,239,478,3732,2430,812,18870,1040,869,35,434,402,25,492,6461,617
"CH4",4576,2700,14040,2281,2114,629,1921,607,80,554,2523,1537,671,12856,795,642,25,245,29,11,576,2190,168
"CH4",1706,2313,471,1291,1157,165,962,299,55,344,1661,764,221,3,1576,301,11,150,3,10,916,2061,54
"CH4",2697,2236,7828,1947,1206,237,1334,270,55,468,1934,1484,697,15105,276,422,8,240,323,6,169,2250,663
"CH4",3565,3620,12455,3949,1879,404,2120,2061,369,1029,3733,1977,1939,5631,988,692,27,345,142,25,277,6345,1059
"CH4",2895,1386,633,987,1250,117,1187,932,138,357,1935,1092,431,1593,448,511,24,197,70,11,647,2191,11
"CH4",2148,1325,1078,694,1133,184,894,714,556,335,2035,1229,369,779,372,647,11,145,128,6,438,1897,8
"CH4",1747,1361,5802,901,1260,252,1530,1037,115,584,3114,2075,494,894,635,411,15,329,83,6,501,5929,54
"CH4",2450,1623,853,1817,1485,150,1739,1257,195,154,1764,1318,604,521,646,469,9,334,2,5,704,2163,16
"CH4",3088,1377,339,1075,1309,517,1222,1000,621,298,1425,1152,397,620,293,477,9,125,8,15,518,1545,34
"CH4",3455,2659,2052,1789,1786,261,1621,1257,90,530,2641,1565,1199,17943,775,941,33,401,50,16,653,4336,1608
"CH4",4174,4192,15974,2598,2926,754,2227,865,989,742,2835,1655,1872,9987,1335,1199,17,386,168,22,1104,6408,2102
"CH4",2634,1686,9233,1289,1434,203,1110,672,22,857,1813,1308,540,21732,380,619,17,260,28,22,401,2183,11
"CH4",2400,1576,600,1149,1227,77,1196,635,22,325,1538,945,456,403,690,647,16,224,8,7,2313,1741,24
"CH4",3278,2675,12240,1799,1794,403,1395,764,1145,920,2536,1613,601,2771,560,701,8,253,29,12,521,6599,1906
"CH4",2156,2196,1574,1435,1704,957,921,538,114,329,1553,911,732,4586,214,355,11,297,30,18,642,2208,147
"CH4",4595,3519,2275,3180,2838,823,2557,1336,423,578,4600,2438,1373,4285,1711,1472,47,595,935,30,1755,10865,1326
"CH4",1657,1678,422,1109,1375,143,1139,371,31,300,1845,1035,591,1027,396,508,8,174,7,4,504,2459,25
"CH4",3344,2411,1109,2060,2640,416,1980,1251,639,442,2897,1938,595,1722,1327,1025,33,359,86,10,848,2976,706
"CH4",3286,2993,1256,1683,1577,219,1113,936,1446,562,2453,1575,688,5281,849,1071,16,356,78,54,643,5110,86
"CH4",2891,1378,584,1023,1128,197,1045,368,368,380,2499,1775,623,13327,288,488,18,261,8,16,705,1651,11
"CH4",1711,2098,1175,1138,1419,156,970,608,249,547,2444,1652,292,657,775,515,14,215,6,6,641,2074,9
"CH4",4140,3284,2259,1962,1714,340,2677,1914,443,740,5851,3095,1224,2928,1016,1409,23,262,24,26,1158,4483,222
"CH4",3609,2888,1391,1723,1334,260,2057,1095,65,941,3699,2072,520,1600,1182,801,11,171,9,19,723,2533,1
"CH4",4260,2713,2189,1995,2226,379,1903,565,64,827,3641,2579,936,2298,861,1102,26,334,233,14,1479,5602,1682
"CH4",4502,3338,10479,2497,2237,371,2120,1090,350,925,3234,2047,1081,26229,781,1086,21,243,44,14,1507,6236,578
"CH4",2696,2379,958,1599,1933,257,1890,985,42,415,1420,899,713,1741,301,661,16,240,5,4,410,2729,14
"CH4",2438,1424,6143,974,1103,223,975,796,424,482,2094,827,218,63,414,459,19,202,568,11,385,4154,110
"CH4",1508,1830,7874,1220,1440,126,1569,682,118,513,2534,997,416,1526,225,473,22,245,15,23,281,1947,823
"CH4",2764,2393,5275,1464,1407,86,1062,255,45,453,1903,1027,665,1803,423,275,11,273,23,9,421,1624,1
"CH4",4040,4258,7426,2001,2352,668,2456,1713,637,721,2673,1820,1780,14467,976,1414,29,470,313,15,907,6765,727
"CH4",2052,1695,1063,1272,1454,135,1100,456,18,409,1623,934,263,840,322,383,7,178,10,5,462,1893,9
"CH4",3284,2716,1215,2299,2038,572,1759,941,83,364,2505,1501,763,2448,427,575,12,354,31,22,1061,3538,121
"CH4",2775,2594,4986,1751,1464,195,1458,543,55,577,2432,1444,462,2355,1088,795,16,268,2,8,1155,4689,806
"CH4",3255,2822,445,1545,2187,201,1231,1316,538,440,2320,1512,630,4182,691,554,14,173,59,4,632,4833,180
"CH4",2157,2157,351,1298,1045,163,993,245,90,289,2084,1304,602,478,1305,876,5,215,2,10,717,1102,0
"CH4",2378,1547,884,1180,1395,235,1370,521,694,784,2065,1400,730,2967,481,386,10,203,18,12,775,2494,2
"CH4",2116,1894,9132,856,989,371,963,184,812,482,1539,999,281,1391,482,285,4,133,0,4,218,961,9
"CH4",3006,2825,1188,1389,1332,353,1320,910,43,503,2139,1462,421,1123,533,613,15,208,8,6,221,1843,505
"CH4",2483,2678,512,1754,2017,373,1127,387,677,604,1771,1248,372,14798,979,649,12,317,50,12,685,5575,79
"CH4",2842,2445,916,1555,1726,221,1488,959,838,480,3362,1789,673,3087,495,591,5,239,31,13,928,3929,34
"CH4",3078,2040,1654,1879,2044,379,1832,1493,340,861,3177,2052,981,3152,947,1056,29,224,8,28,918,2612,77
"CH4",1848,1241,514,861,945,130,1031,1008,40,337,2179,1449,280,17,1546,632,8,188,0,3,753,1666,4
"CH4",2858,2179,693,1234,1467,661,1242,1272,592,615,2024,1280,286,1488,539,781,12,269,3,16,772,3377,56
"CH4",4563,3545,12987,3806,2079,358,2067,1329,314,887,3440,1873,1109,750,1139,910,20,784,91,11,1661,2610,336
"CH4",2772,1044,915,971,1443,292,1194,735,133,658,2263,1414,478,3088,628,434,12,195,13,18,586,2763,8
"CH4",1687,2006,5853,1147,807,273,843,217,20,329,1316,850,394,1050,305,350,6,106,25,10,216,2264,25
"CH4",1888,2755,14030,1568,905,277,1693,510,78,168,1259,840,1059,1184,712,674,33,218,22,14,377,2512,183
"CH4",1720,1338,405,787,1202,77,1352,209,36,468,1689,1012,966,1785,263,356,7,189,7,9,309,2552,2
"CH4",3614,3436,6190,1600,1942,284,1674,1269,100,576,3188,2352,583,580,721,1068,9,383,8,9,1269,2827,37
"CH4",3525,2838,1543,2365,1935,292,2057,1084,254,507,3320,2184,701,3445,546,734,26,269,7,14,1105,3126,130
"CH4",2576,2329,1414,1191,1871,179,1456,686,35,365,2060,1411,280,768,527,977,10,240,1,4,597,2236,0
"CH4",2185,1607,7461,1476,1482,367,1570,421,127,319,1526,1012,265,920,215,527,14,190,5,5,359,2008,152
"CH4",2402,1439,993,778,1248,136,1068,882,237,324,1933,1247,265,756,664,582,16,187,0,7,663,2667,3
"CH4",3533,2628,886,1696,1776,186,1569,1389,912,290,3268,2220,514,685,1540,740,37,290,27,6,1401,3684,114
"CH4",2138,2034,795,704,992,131,1554,732,23,338,1517,952,561,1268,370,507,3,94,0,1,206,2008,9
"CH4",2445,1876,8485,1009,1397,246,1564,814,745,478,1635,894,492,1313,620,914,14,185,1,6,561,2220,28
"CH4",4222,2694,8335,2576,2545,348,2699,1361,1530,932,3305,2203,2031,29075,1691,602,24,420,611,33,2187,7841,966
"CH4",3325,1781,958,1420,1789,216,1435,1009,25,277,1437,1023,392,112,1585,578,21,221,2,4,555,1134,8
"CH4",5792,4317,11100,2940,2570,431,3130,1071,783,881,3785,2516,1495,4257,1156,938,44,425,68,38,1429,7152,997
"CH4",2639,1969,1227,1444,1660,617,1556,1100,901,351,2339,1324,853,789,1572,540,25,195,422,17,777,4310,1044
"CH4",3298,1203,1142,723,773,113,745,949,8,302,2524,1534,179,376,263,451,5,104,0,4,340,1646,2
"CH4",2858,2623,13001,1585,1610,417,1755,1050,635,926,2345,1268,545,4185,1290,720,36,423,199,12,903,5908,775
"CH4",2405,1763,7446,1276,1464,100,1431,1137,300,124,1539,617,513,495,793,791,34,200,0,15,1105,3032,33
"CH4",2928,1859,6945,1790,1554,62,1585,679,20,142,2167,1246,223,276,638,641,19,176,1,10,759,3851,90
"CH4",2664,2301,1233,1427,1202,192,1548,573,197,381,2462,1294,557,879,526,872,6,362,6172,3,1113,1947,410
"CH4",5021,5318,5488,4152,2813,579,1776,1295,417,1398,6314,3470,1194,4723,2098,1803,84,358,600,26,2316,9032,1852
"CH4",6239,3494,2905,2451,2601,413,2701,2133,769,766,5753,2627,881,3362,2677,1645,23,603,4,7,1631,6003,563
"CH4",2265,1433,527,842,991,472,1222,460,313,370,3347,1568,320,484,1150,416,8,180,0,7,358,2545,24
"CH4",4053,2697,8722,2433,2008,342,2152,1503,65,531,3228,1528,520,489,1083,1268,17,369,4,3,1425,3283,257
"CH4",6054,4000,2208,2288,1929,915,2501,1235,307,516,2967,2217,689,3745,2340,1912,18,449,6,3,1799,5595,1092
"CH4",1563,1234,545,822,899,126,805,358,10,904,3059,1872,223,1149,108,515,10,207,1,9,443,1363,8
"CH4",3422,2074,1422,1558,1724,327,1397,1651,719,679,4100,2577,1211,5112,851,1164,16,302,195,14,848,4844,24
"CH4",2983,1841,966,1670,1324,453,1592,996,461,366,2407,1810,1303,9400,727,451,27,334,507,13,645,4781,1166
"CH4",2964,1932,2308,1486,1713,198,1795,516,1032,530,2834,1977,870,927,446,563,29,274,420,12,878,2275,50
"CH4",3266,1673,7053,1269,1674,154,1442,777,92,625,2314,1424,451,966,756,509,15,182,130,10,1328,2120,2
"CH4",2171,1241,594,813,1079,264,1016,799,55,407,1498,1013,245,1414,281,532,13,147,2,11,549,2510,22
"CH4",4686,2081,1778,2530,2163,337,2020,1125,76,541,3227,2120,632,1660,993,572,48,305,19,10,907,4218,412
"CH4",3308,1912,3241,2043,1760,252,2054,898,35,292,2700,1232,647,1028,2113,737,25,483,5,13,1170,6269,391
"CH4",4488,2270,1775,2875,2154,597,2981,877,1334,829,4808,3175,650,9904,1508,816,50,485,505,26,1421,5613,1186
"CH4",2150,1816,577,1820,1401,205,1271,666,34,826,3509,2341,486,1850,927,881,25,245,2,13,1312,5016,97
"CH4",3082,2014,594,1240,1892,145,1363,595,201,376,2735,1761,289,1153,506,668,23,222,0,5,1538,2430,2
"CH4",2318,1380,953,855,1241,761,1049,305,36,542,1794,1223,172,1060,346,453,11,158,2,5,516,1722,62
"CH4",3543,2690,3042,2378,1612,568,1756,1903,348,438,2405,1325,548,3864,1668,1109,31,286,21,10,1332,4784,937
"CH4",3552,5156,9483,3935,1035,349,2011,325,57,540,3274,2115,1588,6777,933,683,38,444,127,29,671,4345,194
"CH4",3927,3154,685,2359,1181,606,1970,1321,1183,528,2399,1509,1143,4593,662,675,17,438,62,51,322,4429,1893
"CH4",3580,2213,1515,1735,1130,328,1351,746,1541,425,1527,956,605,1148,1018,576,8,365,50,17,994,4501,630
"CH4",3959,3783,14482,4368,2055,371,2660,1986,480,877,3697,1682,1278,2711,1138,1180,43,570,296,40,1269,5088,1108
"CH4",2746,1798,5615,1203,1946,504,907,241,910,1012,2958,1838,316,1520,661,401,6,249,2,5,323,3345,1831
"CH4",1950,1253,583,773,1059,155,1360,891,617,499,1561,1032,427,1001,354,449,4,237,0,1,496,1907,18
"CH4",4908,4227,10538,2934,2884,984,2218,1431,1535,1236,5267,2907,1949,32623,1232,1450,39,366,683,28,2127,8234,1520
"CH4",6220,5711,13929,3437,1770,851,2560,2145,2642,1323,4987,2475,1547,25365,3253,1312,19,441,330,30,2722,13786,541
"CH4",2811,2226,585,1529,1245,147,1641,460,41,498,1702,1494,444,1325,500,625,12,305,4,17,673,2608,2
"CH4",3207,2027,7173,1898,1758,303,1729,1424,1202,724,2384,1527,516,2436,997,610,61,191,55,7,1076,3622,14
"CH4",3852,3164,5534,1923,1964,508,1780,744,376,386,2965,1886,454,1915,750,794,20,302,234,14,1562,4969,361
"CH4",2286,1656,1134,1871,1350,155,1239,552,172,345,2983,2146,1033,2365,646,840,24,263,12,12,932,2745,25
"CH4",6528,6847,14896,3690,3391,1476,2921,2060,1264,1438,5795,3643,1468,5347,1850,2059,108,613,224,32,2624,6783,886
"CH4",3620,3483,8892,2370,2283,385,1938,924,416,970,4486,2643,1124,22031,1829,880,15,618,62,22,1764,5010,228
"CH4",4262,3739,2572,2722,2042,276,1772,961,471,1034,3757,2281,1541,4102,1934,877,20,534,724,41,2076,4240,792
"CH4",2244,2229,705,1381,1357,232,1683,450,289,808,2203,1429,423,1773,827,416,11,378,7,14,794,2137,3
"CH4",2573,2215,8559,1184,862,143,1041,891,91,734,2353,1449,303,1673,438,468,8,225,23,15,718,1881,0
"CH4",5131,2439,1159,127,82,142,166,5,2,2551,2312,2058,156,2984,110,291,0,60,15,0,19,730,0
"CH4",2441,2814,6196,1445,1419,293,1464,509,7,544,2932,1843,568,972,556,557,30,261,3,8,942,2761,292
"CH4",2162,1195,7538,1556,1388,199,1500,924,45,281,1697,940,463,1132,418,419,14,238,1,6,670,2331,27
"CH4",5113,5146,7408,2738,1807,436,2524,1410,286,953,4498,3324,2256,1546,1764,1374,49,683,16,18,1238,6043,762
"CH4",2178,1219,478,983,543,98,838,170,232,574,2473,1621,515,1578,589,270,14,258,19,4,533,1313,7
"CH4",2091,1360,7936,1040,591,90,1703,551,302,244,4033,2501,1161,1110,300,475,15,263,476,15,556,3437,1
"CH4",2530,1756,702,1239,1229,186,1589,1181,254,687,3988,2557,279,4023,955,662,11,344,1170,14,278,2621,1365
"CH4",3385,2616,1992,1915,1597,559,1917,973,634,586,4822,2717,1221,2713,899,604,25,289,35,17,481,3312,105
"CH4",4954,3164,9612,2213,2098,353,2462,1137,1127,1182,7045,4572,1133,4341,1821,1091,16,549,545,25,1188,5252,782
"CH4",2399,1852,682,1677,1399,145,1624,1335,990,543,3914,2754,788,1050,405,620,17,364,64,7,1047,2732,397
"CH4",3328,2018,4627,922,1388,286,1180,615,414,277,1486,1067,316,1343,458,581,20,180,7,0,445,1985,135
"CH4",2559,3145,1125,1863,1400,243,1857,1222,101,653,3409,1918,872,2702,1039,583,9,296,53,5,825,3454,824
"CH4",4380,3888,13852,2203,2384,844,2109,1362,667,754,2622,1682,1234,22688,1587,814,26,385,1283,24,1393,7193,883
"CH4",5190,1966,1539,770,1283,213,913,766,256,522,1612,959,266,517,374,605,28,87,0,1,845,1739,3
"CH4",2982,1678,1581,1373,1921,154,1450,810,56,217,2001,1669,664,1158,908,550,18,359,4,19,1177,2564,4
"CH4",1990,2110,613,1198,1094,56,1182,231,27,593,1788,1030,426,690,634,408,18,254,7,21,164,2605,37
"CH4",2968,2306,814,1650,1835,256,1277,361,85,641,2730,1580,450,1822,395,589,10,276,11,25,805,2154,35
"CH4",2097,2508,698,1916,1157,206,1353,248,287,249,1257,953,688,874,290,570,36,204,186,10,1084,2253,26
"CH4",1977,1172,334,689,979,322,993,682,30,444,2423,1132,538,886,431,393,7,142,276,5,262,2061,32
"CH4",2253,1317,481,860,1272,95,1008,484,180,261,1739,1231,298,509,388,356,14,287,2,7,297,2707,0
"CH4",2860,2063,837,1340,1556,176,1295,454,389,523,2500,1433,419,1375,449,606,13,301,472,22,560,2935,505
"CH4",3870,3274,8774,2690,3054,618,3752,1170,524,688,5279,2572,1172,4880,1907,670,29,572,2677,45,535,8128,1061
"CH4",4843,2953,2063,2261,1681,777,2652,1747,1108,381,3260,2721,1794,4255,1761,1017,32,478,83,22,460,6078,2276
"CH4",6378,4801,3100,2472,2536,1164,2990,2221,718,1127,5102,2744,2379,6611,2192,1189,21,623,1073,23,1090,5579,1068
"CH4",2684,1562,1065,639,1294,249,685,57,7,121,1335,843,290,541,547,573,4,111,96,1,577,2780,1
"CH4",1966,2274,475,1609,1441,364,1712,426,98,204,1275,801,646,19266,742,843,21,221,263,8,888,4416,63
"CH4",3020,1660,522,962,941,75,854,1051,305,353,1419,806,234,1085,887,492,24,153,8,2,663,1419,10
"CH4",3995,2781,6964,1230,1712,388,1421,218,21,1016,5226,2224,753,4627,1853,586,12,268,4,18,377,3466,805
"CH4",2139,2112,1796,1102,762,421,1218,530,38,693,2060,1367,520,1910,366,323,19,139,16,11,403,3240,77
"CH4",6063,3836,4469,3106,3276,571,2914,2702,1594,2503,6514,3965,1435,33619,1595,1241,21,403,483,36,902,8248,1438
"CH4",3516,3116,6995,1554,1279,235,2077,1172,82,875,4730,3413,1435,9415,4196,847,18,387,685,2,607,6547,885
"CH4",2463,1523,1045,992,1498,123,1621,879,336,336,3554,2104,625,2398,439,731,22,254,53,8,471,2847,2
"CH4",242,24,56,45,195,359,116,173,0,1734,0,0,2011,46270,106,147,0,44,0,0,2,789,0
"CH4",3183,1772,683,1010,1694,268,2029,1081,1190,449,3009,2172,1015,11951,504,541,1,347,41,2,197,1938,1062
"CH4",1460,1061,8190,936,771,79,795,662,870,395,4684,3469,272,10,308,556,9,242,47,4,733,2951,661
"CH4",2802,1710,762,1923,440,121,1348,825,737,382,4914,3170,601,642,722,701,43,366,970,8,1032,3826,3
"CH4",2329,2072,1183,1443,994,138,1981,1317,289,486,3750,2359,606,1185,1221,870,23,288,80,6,691,2550,517
"CH4",4439,820,1261,1045,334,208,2798,1887,1634,1858,4076,2805,1114,6297,316,1008,60,468,157,0,486,3683,0
"CH4",2800,2454,1159,1103,946,115,1400,1836,1358,398,3191,2524,470,1182,680,883,53,332,1553,2,565,2189,639
"CH4",2961,2379,1170,1557,1581,285,1931,1003,713,396,3003,2736,682,1731,1429,520,9,276,70,7,2894,2225,569
"CH4",3469,2955,995,1658,1226,538,1861,572,76,551,5276,3124,2392,12478,1372,1763,35,316,1436,5,1127,5020,759
"CH4",3241,2837,1303,1721,1162,150,2291,1112,639,670,3389,2452,581,1751,1057,1120,13,642,854,5,581,3289,547
"CH4",4309,3505,11189,2054,2715,847,2283,1888,1074,1532,5081,3921,1046,4685,1335,1137,22,478,167,6,1055,4650,1196
"CH4",1212,209,2343,587,333,259,478,1320,711,413,3126,1039,599,208,379,583,6,210,8,0,192,1964,2
"CH4",1770,1137,615,757,476,56,982,500,412,468,4484,2702,416,618,199,554,33,2082,757,26,174,1205,0
"CH4",3863,2969,12789,2856,2805,377,2977,805,274,961,8268,4375,1635,10800,2315,724,40,1360,568,39,770,6024,164
"CH4",2641,1793,12489,1636,1791,546,1810,791,484,635,4002,2662,651,1979,1044,652,330,925,935,18,1231,4963,812
"CH4",2208,1615,358,1416,823,59,1274,178,24,348,3746,1844,174,0,461,420,30,756,0,6,1004,1629,0
"CHU",9372,9244,19990,6824,2189,1148,4030,1850,2015,1886,5106,2637,4774,6507,4819,3089,67,741,3564,99,2752,19067,1391
"CHU",14270,16309,10194,12844,8943,2628,6598,6995,3394,3928,13845,5636,6849,38516,9352,5821,369,1370,13057,187,4289,31456,3991
"CHU",8422,8067,3697,5709,3884,1005,4321,2196,2268,1533,7260,3538,2361,4356,2144,1950,92,648,158,67,1214,11137,2807
"CHU",5621,4974,14948,4945,4145,925,3104,2517,2953,1605,4318,2502,5398,6957,2546,1917,67,609,942,85,1788,11627,2170
"CHU",7055,6038,13584,4081,3929,977,2886,2300,2206,2505,4039,2468,3294,38950,3040,2671,108,531,1231,87,1158,8784,2051
"CHU",4465,6274,8854,4892,4101,678,4288,1791,1962,1691,3565,2047,2837,23849,2658,2156,40,985,445,66,704,12281,1633
"CHU",4938,4080,12871,3635,2136,683,2248,2045,1440,4344,5467,2427,1165,7543,2426,2003,16,449,47,33,1681,11643,1854
"CHU",14966,19143,26893,15387,8681,1606,8159,5790,3620,5130,7318,5192,6299,8414,10641,7948,249,1543,1712,283,7330,25383,4075
"CHU",13022,15809,23427,13828,11640,1529,7743,4838,3290,3108,7436,4811,8952,26963,8205,6081,397,3348,4956,195,3766,31384,4054
"CHU",10991,12487,11896,8549,4696,1391,6502,4848,3420,2758,6855,3251,4030,7789,4438,4791,249,1145,3656,212,4827,22770,3158
"CHU",9164,9370,5632,5981,6397,1251,3650,2048,1647,2048,9682,4597,3109,4478,3657,2962,56,653,408,97,2804,17412,2356
